"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","rate.type","umol.cm2.hr"
"383",33.200718715,33,3303,"C","M6","M60Cd","M60C","NP",0.382716151
"384",33.16693719,34,3404,"C","M6","M60Cd","M60C","NP",-0.088667748
"385",26.411042815,27,2706,"T1","K2","K201a","K201","R",-0.424067001
"386",26.285931415,28,2801,"T1","K2","K201a","K201","R",-0.473975972
"387",26.442051465,29,2903,"T1","K2","K201a","K201","R",-0.450002316
"388",26.34798866,30,3004,"T1","K2","K201a","K201","R",-0.523097009
"389",26.40792688,31,3106,"T1","K2","K201a","K201","R",-0.476526511
"390",26.495725565,32,3202,"T1","K2","K201a","K201","R",-0.575194017
"391",26.427346165,33,3303,"T1","K2","K201a","K201","R",-0.547466828
"392",26.42070666,34,3405,"T1","K2","K201a","K201","R",-0.487635384
"393",26.418751425,27,2703,"T1","K2","K201b","K201","R",-0.440743931
"394",26.454835115,28,2805,"T1","K2","K201b","K201","R",-0.443637932
"395",26.296779,29,2906,"T1","K2","K201b","K201","R",-0.394691561
"396",26.486800255,30,3002,"T1","K2","K201b","K201","R",-0.505252
"397",26.35641924,31,3104,"T1","K2","K201b","K201","R",-0.530401043
"398",26.23352487,32,3205,"T1","K2","K201b","K201","R",-0.461092488
"399",26.40047864,33,3301,"T1","K2","K201b","K201","R",-0.510523342
"400",26.26095583,34,3402,"T1","K2","K201b","K201","R",-0.474471053
"401",26.396846925,27,2701,"T1","K2","K201c","K201","R",-0.406892379
"402",26.40850227,28,2803,"T1","K2","K201c","K201","R",-0.413620773
"403",26.28914571,29,2904,"T1","K2","K201c","K201","R",-0.463098913
"404",26.22156436,30,3006,"T1","K2","K201c","K201","R",-0.462109893
"405",26.32101657,31,3102,"T1","K2","K201c","K201","R",-0.561775774
"406",26.438263855,32,3203,"T1","K2","K201c","K201","R",-0.534684648
"407",26.31917945,33,3305,"T1","K2","K201c","K201","R",-0.478444158
"408",26.422506205,34,3406,"T1","K2","K201c","K201","R",-0.410245911
"409",26.425956665,27,2704,"T1","K2","K201d","K201","R",-0.394142849
"410",26.424582585,28,2805,"T1","K2","K201d","K201","R",-0.482680592
"411",26.464896135,29,2901,"T1","K2","K201d","K201","R",-0.508805347
"412",26.344990565,30,3002,"T1","K2","K201d","K201","R",-0.34841087
"413",26.33136031,31,3104,"T1","K2","K201d","K201","R",-0.566082748
"414",26.34300791,32,3206,"T1","K2","K201d","K201","R",-0.498594861
"415",26.469831565,33,3301,"T1","K2","K201d","K201","R",-0.559392766
"416",26.27403809,34,3403,"T1","K2","K201d","K201","R",-0.405800471
"417",26.31821738,27,2706,"T2","K2","K202a","K202","R",-0.443181796
"418",26.40407251,28,2801,"T2","K2","K202a","K202","R",-0.503080576
"419",26.456289475,29,2903,"T2","K2","K202a","K202","R",-0.472985481
"420",26.46780414,30,3004,"T2","K2","K202a","K202","R",-0.494450185
"421",26.378185845,31,3106,"T2","K2","K202a","K202","R",-0.598064601
"422",26.36363632,32,3202,"T2","K2","K202a","K202","R",-0.548938119
"423",26.34473143,33,3303,"T2","K2","K202a","K202","R",-0.610175146
"424",26.41858541,34,3405,"T2","K2","K202a","K202","R",-0.433758283
"425",26.417124825,27,2704,"T2","K2","K202b","K202","R",-0.364047422
"426",26.435232395,28,2806,"T2","K2","K202b","K202","R",-0.384398009
"427",26.33052757,29,2901,"T2","K2","K202b","K202","R",-0.40509443
"428",26.35410647,30,3003,"T2","K2","K202b","K202","R",-0.469395814
"429",26.34727936,31,3105,"T2","K2","K202b","K202","R",-0.403624115
"430",26.288387995,32,3206,"T2","K2","K202b","K202","R",-0.435413866
"431",26.28127358,33,3302,"T2","K2","K202b","K202","R",-0.467941947
"432",26.37220693,34,3403,"T2","K2","K202b","K202","R",-0.300086504
"433",27.0920342,27,2703,"T2","K2","K202c","K202","R",-0.423085583
"434",27.124964555,28,2804,"T2","K2","K202c","K202","R",-0.403493512
"435",27.165666485,29,2906,"T2","K2","K202c","K202","R",-0.435619121
"436",27.17359155,30,3001,"T2","K2","K202c","K202","R",-0.440319824
"437",27.180141105,31,3103,"T2","K2","K202c","K202","R",-0.588932169
"438",27.05098725,32,3205,"T2","K2","K202c","K202","R",-0.378270484
"439",27.13296287,33,3306,"T2","K2","K202c","K202","R",-0.441669152
"440",27.179737005,34,3402,"T2","K2","K202c","K202","R",-0.390334727
"441",26.975087165,27,2705,"T2","K2","K202d","K202","R",-0.405260448
"442",27.165024415,28,2806,"T2","K2","K202d","K202","R",-0.439298707
"443",27.00744033,29,2902,"T2","K2","K202d","K202","R",-0.469484299
"444",27.145403925,30,3003,"T2","K2","K202d","K202","R",-0.551484029
"445",27.227113125,31,3105,"T2","K2","K202d","K202","R",-0.544795129
"446",27.162567765,32,3201,"T2","K2","K202d","K202","R",-0.585281652
