"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate"
"91","Blk1_3404",136.60635187036,-0.00295455337141937,33.1026912482598,"Blk1","BLANK","3404",34,"light","BLANK",NA,620,0.62,-0.00183182309028001,"1",-0.00181606813952295
"92","Blk1_3404D",133.582850902333,-0.00199945723280272,33.1099829485213,"Blk1","BLANK","3404D",34,"dark","BLANK",NA,620,0.62,-0.00123966348433768,"1",-0.00116691317298271
"93","Blk1_3405",127.124815934568,-0.00265517598659689,33.0818829676661,"Blk1","BLANK","3405",34,"light","BLANK",NA,620,0.62,-0.00164620911169007,"1",-0.00158131850153577
"94","Blk1_3405D",124.628385308023,-0.00172317789765218,33.1303954750726,"Blk1","BLANK","3405D",34,"dark","BLANK",NA,620,0.62,-0.00106837029654435,"1",-0.00106448248305258
"95","Blk1_3406",119.909515081116,-0.00258616637866317,32.8085781187398,"Blk1","BLANK","3406",34,"light","BLANK",NA,620,0.62,-0.00160342315477116,"1",-0.001389720716516
"96","Blk1_3406D",117.379706065203,-0.00187947324463795,32.9629525556193,"Blk1","BLANK","3406D",34,"dark","BLANK",NA,620,0.62,-0.00116527341167553,"1",-0.00109170067751557
"97","Blk1_3407",116.957333631179,-0.00255731137594778,32.9274259854635,"Blk1","BLANK","3407",34,"light","BLANK",NA,620,0.62,-0.00158553305308763,"1",-0.00158553305308763
"98","Blk1_3407D",114.512751369635,-0.00179514289390837,32.9978098838751,"Blk1","BLANK","3407D",34,"dark","BLANK",NA,620,0.62,-0.00111298859422319,"1",-0.00111298859422319
"99","Blk2_2701",174.163672056057,-0.000476423309211248,26.3758055632274,"Blk2","BLANK","2701",27,"light","BLANK",NA,620,0.62,-0.000295382451710974,"1",-0.000187505895854018
"100","Blk2_2701D",173.558503973739,-0.000481527964602242,26.3350879609728,"Blk2","BLANK","2701D",27,"dark","BLANK",NA,620,0.62,-0.00029854733805339,"1",-0.000287796468557096
"101","Blk2_2702",159.432204033819,-0.000365256754653651,26.3615418783766,"Blk2","BLANK","2702",27,"light","BLANK",NA,620,0.62,-0.000226459187885264,"1",-0.000135856160381457
"102","Blk2_2702D",159.013914709003,-0.000271031551887992,26.3930223354302,"Blk2","BLANK","2702D",27,"dark","BLANK",NA,620,0.62,-0.000168039562170555,"1",-0.000191109202701504
"103","Blk2_2703",162.577348905156,-0.000439214887734689,26.3210821882036,"Blk2","BLANK","2703",27,"light","BLANK",NA,620,0.62,-0.000272313230395507,"1",-0.000280198141646153
"104","Blk2_2703D",162.04673486573,-0.000539309205581104,26.3073781467551,"Blk2","BLANK","2703D",27,"dark","BLANK",NA,620,0.62,-0.000334371707460284,"1",-0.000330600998008154
"105","Blk2_2704",161.857691513485,-0.000722456527114241,26.3962691673682,"Blk2","BLANK","2704",27,"light","BLANK",NA,620,0.62,-0.000447923046810829,"1",-0.000378309768965196
"106","Blk2_2704D",161.180396875405,-0.000684525719069947,26.3402638658259,"Blk2","BLANK","2704D",27,"dark","BLANK",NA,620,0.62,-0.000424405945823367,"1",-0.00040381851779465
"107","Blk2_2705",160.402596778456,-0.000705793480114762,26.3303687758402,"Blk2","BLANK","2705",27,"light","BLANK",NA,620,0.62,-0.000437591957671153,"1",-0.000462089919261051
"108","Blk2_2705D",159.659067494596,-0.000761785486699859,26.2992072276551,"Blk2","BLANK","2705D",27,"dark","BLANK",NA,620,0.62,-0.000472307001753913,"1",-0.000412565460653462
"109","Blk2_2706",154.759704998617,-0.000762149856406496,26.4463347720415,"Blk2","BLANK","2706",27,"light","BLANK",NA,620,0.62,-0.000472532910972028,"1",-0.000441294018056028
"110","Blk2_2706D",154.090813448342,-0.000589780390222193,26.398903755834,"Blk2","BLANK","2706D",27,"dark","BLANK",NA,620,0.62,-0.00036566384193776,"1",-0.000362934475122222
"111","Blk2_2801",206.896656657297,5.35816855765492e-05,27.0873857186773,"Blk2","BLANK","2801",28,"light","BLANK",NA,620,0.62,3.32206450574605e-05,"1",-0.000103801311043498
"112","Blk2_2801D",206.916950451265,-0.000184948593694101,27.0451544258084,"Blk2","BLANK","2801D",28,"dark","BLANK",NA,620,0.62,-0.000114668128090343,"1",-0.000169487476733313
"113","Blk2_2802",191.540815354294,-0.000620389839820581,27.1973506148991,"Blk2","BLANK","2802",28,"light","BLANK",NA,620,0.62,-0.00038464170068876,"1",-0.000365869882294279
"114","Blk2_2802D",190.848118069369,-0.000538438194315085,27.1779412725311,"Blk2","BLANK","2802D",28,"dark","BLANK",NA,620,0.62,-0.000333831680475352,"1",-0.000375730661258028
"115","Blk2_2803",186.175175099627,-0.000795145082704796,27.1199059023094,"Blk2","BLANK","2803",28,"light","BLANK",NA,620,0.62,-0.000492989951276974,"1",-0.000501760915779508
"116","Blk2_2803D",185.225316061818,-0.00088196317220856,27.1436116521586,"Blk2","BLANK","2803D",28,"dark","BLANK",NA,620,0.62,-0.000546817166769307,"1",-0.000548119209807916
"117","Blk2_2804",180.736208687637,-0.000998393526644557,27.186663190352,"Blk2","BLANK","2804",28,"light","BLANK",NA,620,0.62,-0.000619003986519625,"1",-0.000693769818509738
"118","Blk2_2804D",179.614439094563,-0.000945986867727144,27.1464864038509,"Blk2","BLANK","2804D",28,"dark","BLANK",NA,620,0.62,-0.000586511857990829,"1",-0.000631231383853195
"119","Blk2_2805",174.660188465626,-0.00129956969686647,27.3764787679303,"Blk2","BLANK","2805",28,"light","BLANK",NA,620,0.62,-0.000805733212057213,"1",-0.000800714204829195
"120","Blk2_2805D",172.902140244146,-0.00146605726033585,27.3086392790002,"Blk2","BLANK","2805D",28,"dark","BLANK",NA,620,0.62,-0.000908955501408226,"1",-0.000873538228166264
"121","Blk2_2806",165.543453165747,-0.00145689642415125,27.1604581078852,"Blk2","BLANK","2806",28,"light","BLANK",NA,620,0.62,-0.000903275782973774,"1",-0.000995615818379439
"122","Blk2_2806D",163.682177265454,-0.00161511950721257,27.1018336912526,"Blk2","BLANK","2806D",28,"dark","BLANK",NA,620,0.62,-0.00100137409447179,"1",-0.0010056114985702
