"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","rate.type","individual.ID"
"439","M503d_3004",122.039680001297,-0.00145880761227382,29.4259464296761,"M503d","M5","3004",30,"light","T3",37.26302225,610,0.61,-0.000889872643487032,0,-0.00230526694598057,0.00141539430249354,0.13674198122716,"NP","M503"
"440","M503d_3004D",133.56061214674,-0.0124107910638884,29.3358925333964,"M503d","M5","3004D",30,"dark","T3",37.26302225,610,0.61,-0.00757058254897192,0,-0.00219291127549974,-0.00537767127347217,-0.519539624419483,"R","M503"
"441","M503d_3106",125.452605510889,0.000521148487530943,30.0697658490724,"M503d","M5","3106",31,"light","T3",37.26302225,610,0.61,0.000317900577393875,0,-0.0017630679797247,0.00208096855711858,0.201043456844859,"NP","M503"
"442","M503d_3106D",122.438249506534,-0.0119563752258084,30.0685163336557,"M503d","M5","3106D",31,"dark","T3",37.26302225,610,0.61,-0.00729338888774314,0,-0.00170452680161095,-0.00558886208613219,-0.539942878897213,"R","M503"
"443","M503d_3201",169.902232408067,0.0100130178519981,31.403039430598,"M503d","M5","3201",32,"light","T3",37.26302225,610,0.61,0.00610794088971884,0,-0.00090969703832526,0.0070176379280441,0.677977657621659,"NP","M503"
"444","M503d_3201D",174.480315170987,-0.00951141299358626,31.4118951589583,"M503d","M5","3201D",32,"dark","T3",37.26302225,610,0.61,-0.00580196192608762,0,-0.000652855648792728,-0.00514910627729489,-0.497457841017219,"R","M503"
"445","M503d_3303",140.637017922199,0.00597099449736641,32.5348808088924,"M503d","M5","3303",33,"light","T3",37.26302225,610,0.61,0.00364230664339351,0,-0.00136296329817683,0.00500526994157035,0.483561737659463,"NP","M503"
"446","M503d_3303D",141.150728603837,-0.00934976875289513,32.4897929313139,"M503d","M5","3303D",33,"dark","T3",37.26302225,610,0.61,-0.00570335893926603,0,-0.000960609111067687,-0.00474274982819834,-0.458199532688577,"R","M503"
"447","M503d_3404",131.807174861246,-0.0036186905588727,33.2588157096962,"M503d","M5","3404",34,"light","T3",37.26302225,610,0.61,-0.00220740124091235,0,-0.00181606813952295,-0.000391333101389393,-0.0378068948769129,"NP","M503"
"448","M503d_3404D",126.421696786981,-0.00781284969158286,33.2623610511701,"M503d","M5","3404D",34,"dark","T3",37.26302225,610,0.61,-0.00476583831186554,0,-0.00116691317298271,-0.00359892513888283,-0.347694033324906,"R","M503"
"449","M50Ca_2705",169.070332801175,0.00783483160071288,26.5178557346,"M50Ca","M5","2705",27,"light","C",36.99586149,606.375,0.606375,0.00475084601188228,0,-0.000462089919261051,0.00521293593114333,0.507261315084894,"NP","M50C"
"450","M50Ca_2705D",172.481499582939,-0.00913527256770697,26.4177525485352,"M50Ca","M5","2705D",27,"dark","C",36.99586149,606.375,0.606375,-0.00553940090324332,0,-0.000412565460653462,-0.00512683544258985,-0.498883033128241,"R","M50C"
"451","M50Ca_2806",164.131094926105,0.00472932180938054,27.2460319666556,"M50Ca","M5","2806",28,"light","C",36.99586149,606.375,0.606375,0.00286774251216312,0,-0.000995615818379439,0.00386335833054256,0.375936373145753,"NP","M50C"
"452","M50Ca_2806D",162.461180657723,-0.0114288076836987,27.1631434633333,"M50Ca","M5","2806D",28,"dark","C",36.99586149,606.375,0.606375,-0.0069301432592028,0,-0.0010056114985702,-0.00592453176063259,-0.576505411126658,"R","M50C"
"453","M50Ca_2902",229.602634764319,0.0133714760943756,28.4582045909088,"M50Ca","M5","2902",29,"light","C",36.99586149,606.375,0.606375,0.00810812881672703,0,-4.7492723859055e-05,0.00815562154058609,0.793608700098686,"NP","M50C"
"454","M50Ca_2902D",236.367243530155,-0.00915571703332344,28.4325229050446,"M50Ca","M5","2902D",29,"dark","C",36.99586149,606.375,0.606375,-0.0055517979160815,0,-3.71346155437918e-05,-0.00551466330053771,-0.536621856671778,"R","M50C"
"455","M50Ca_3003",163.051174143437,0.00459147303527513,29.2315175561101,"M50Ca","M5","3003",30,"light","C",36.99586149,606.375,0.606375,0.00278415446176495,0,-0.00198524759884566,0.00476940206061062,0.464101840765061,"NP","M50C"
"456","M50Ca_3003D",162.490199903785,-0.0149686697902675,29.2718472134396,"M50Ca","M5","3003D",30,"dark","C",36.99586149,606.375,0.606375,-0.00907662714407347,0,-0.00186499962690864,-0.00721162751716483,-0.701750358450523,"R","M50C"
"457","M50Ca_3105",143.273811394065,0.00672888757503879,30.0699238960909,"M50Ca","M5","3105",31,"light","C",36.99586149,606.375,0.606375,0.00408022920331415,0,-0.00146388082624255,0.0055441100295567,0.539487264320064,"NP","M50C"
"458","M50Ca_3105D",144.543177829559,-0.0125984888479744,30.1758415772562,"M50Ca","M5","3105D",31,"dark","C",36.99586149,606.375,0.606375,-0.00763940867519049,0,-0.00109415023775525,-0.00654525843743524,-0.636907195177383,"R","M50C"
"459","M50Ca_3201",161.459659862265,0.0103896167661678,31.3464309633375,"M50Ca","M5","3201",32,"light","C",36.99586149,606.375,0.606375,0.00630000386658502,0,-0.00090969703832526,0.00720970090491028,0.701562883315818,"NP","M50C"
"460","M50Ca_3201D",166.724737389243,-0.00976965998205807,31.3523077189721,"M50Ca","M5","3201D",32,"dark","C",36.99586149,606.375,0.606375,-0.00592407757162046,0,-0.000652855648792728,-0.00527122192282773,-0.512933018935352,"R","M50C"
"461","M50Ca_3302",149.083587751585,0.00592914814556859,32.4301566643817,"M50Ca","M5","3302",33,"light","C",36.99586149,606.375,0.606375,0.00359528720676916,0,-0.00156549097717531,0.00516077818394447,0.502185939560347,"NP","M50C"
"462","M50Ca_3302D",145.508957658275,-0.00936383978393166,32.3797328507714,"M50Ca","M5","3302D",33,"dark","C",36.99586149,606.375,0.606375,-0.00567799834898156,0,-0.00112683759479283,-0.00455116075418873,-0.442865176136204,"R","M50C"
"463","M50Ca_3404",134.097353548101,-0.00464660566049311,33.1813566216661,"M50Ca","M5","3404",34,"light","C",36.99586149,606.375,0.606375,-0.00281758550738151,0,-0.00181606813952295,-0.00100151736785856,-0.0974558336819747,"NP","M50C"
"464","M50Ca_3404D",127.970553679226,-0.00791302079804882,33.177066050074,"M50Ca","M5","3404D",34,"dark","C",36.99586149,606.375,0.606375,-0.00479825798641685,0,-0.00116691317298271,-0.00363134481343415,-0.353359559741473,"R","M50C"
"465","M50Cb_2702",171.904495799858,0.00656183609695431,26.4161258784011,"M50Cb","M5","2702",27,"light","C",34.3402539,607,0.607,0.00398303451085126,0,-0.000135856160381457,0.00411889067123272,0.431796644824393,"NP","M50C"
"466","M50Cb_2702D",175.245738263479,-0.00783608118362382,26.3848314027299,"M50Cb","M5","2702D",27,"dark","C",34.3402539,607,0.607,-0.00475650127845966,0,-0.000191109202701504,-0.00456539207575816,-0.478604832701291,"R","M50C"
"467","M50Cb_2804",179.685322779848,0.00712724062032028,27.2479715830898,"M50Cb","M5","2804",28,"light","C",34.3402539,607,0.607,0.00432623505653441,0,-0.000693769818509738,0.00502000487504414,0.526263364353253,"NP","M50C"
"468","M50Cb_2804D",182.276637298213,-0.00904586860100859,27.2131199568459,"M50Cb","M5","2804D",28,"dark","C",34.3402539,607,0.607,-0.00549084224081222,0,-0.000631231383853195,-0.00485961085695902,-0.509448740128636,"R","M50C"
"469","M50Cb_2905",175.301258977408,0.00698705860494816,28.3873138213094,"M50Cb","M5","2905",29,"light","C",34.3402539,607,0.607,0.00424114457320353,0,-0.00149487215639374,0.00573601672959727,0.601325205302287,"NP","M50C"
"470","M50Cb_2905D",176.603189701073,-0.0103707687004017,28.3153981885984,"M50Cb","M5","2905D",29,"dark","C",34.3402539,607,0.607,-0.00629505660114386,0,-0.000930057451079428,-0.00536499915006443,-0.562430231193834,"R","M50C"
"471","M50Cb_3001",193.21212513427,0.00732064369075538,29.0196024630025,"M50Cb","M5","3001",30,"light","C",34.3402539,607,0.607,0.00444363072028851,0,-0.00136760501875597,0.00581123573904448,0.609210657599714,"NP","M50C"
"472","M50Cb_3001D",195.315266541997,-0.0123140679155387,29.0344706801685,"M50Cb","M5","3001D",30,"dark","C",34.3402539,607,0.607,-0.00747463922473197,0,-0.00145734177648571,-0.00601729744824626,-0.63081277374267,"R","M50C"
"473","M50Cb_3103",166.201077672591,0.0087319305536736,30.680939161971,"M50Cb","M5","3103",31,"light","C",34.3402539,607,0.607,0.00530028184607988,0,-0.00115777987582816,0.00645806172190804,0.677019519615985,"NP","M50C"
"474","M50Cb_3103D",168.635642422824,-0.011645966484348,30.4768394820992,"M50Cb","M5","3103D",31,"dark","C",34.3402539,607,0.607,-0.00706910165599922,0,-0.00107404755255364,-0.00599505410344558,-0.628480931889793,"R","M50C"
"475","M50Cb_3204",152.914728706425,0.00666378451076811,31.1950662409579,"M50Cb","M5","3204",32,"light","C",34.3402539,607,0.607,0.00404491719803624,0,-0.0017948350809973,0.00583975227903354,0.612200138814953,"NP","M50C"
